Data Series,  1 Person,  2 Persons,  3 Persons,  4 Persons,  5 Persons,  6 Or More Persons
2022 ,41200,91700,83500,79100,34100,15300
2021 ,43800,85500,81500,75800,35600,20300
2020 ,46700,81100,74500,72500,36400,23600
2019 ,43300,90000,76500,74700,32100,19400
2018 ,36100,79900,71800,71900,32900,20100
2017 ,34200,75500,70600,70500,34400,21900
2016 ,31600,70700,70500,70900,33400,22100
2015 ,29300,66400,64700,65100,31900,19400
2014 ,25500,63200,63200,62500,30500,21600
2013 ,25900,56500,58800,66000,30300,20600
2012 ,21300,56000,56900,59900,33300,19200
2011 ,20000,52900,57300,60600,31100,19000
